code,title
-10,无法判断
-9,缺失
-8,不适用
-7,职业描述不清，无法分类
-2,拒绝回答
-1,不知道
10000,国家机关、党群组织、企业、事业单位负责人
10100,中国共产党中央委员会和地方各级组织负责人
10101,中国共产党中央委员会和地方各级组织负责人
10200,国家机关及其工作机构负责人
10201,国家权力机关及其工作机构负责人
10202,人民政协及其工作机构负责人
10203,人民法院负责人
10204,人民检察院负责人
10205,国家行政机关及其工作机构负责人
10209,其他国家机关及其工作机构负责人
10300,民主党派和社会团体及其工作机构负责人
10301,民主党派负责人
10302,工会、共青团、妇联、其他人民团体及其工作机构负责人
10303,群众自治组织负责人
10309,其他社会团体及工作机构负责人
10400,事业单位负责人
10401,教育教学单位负责人
10402,卫生单位负责人
10403,科研单位负责人
10409,其他事业单位负责人
10500,企业负责人
10501,企业负责人
10510,企业负责人
10520,生产经营方面的部门经理或主管
10530,其他部门经理或主管
10544,批发、零售业业个体经营业主
10545,餐馆、旅店方面的个体经营业主
10546,仓储、运输、交通类个体经营业主
10547,商务服务业经营业主
10548,保健娱乐、家政方面的个体经营业主
10549,集市个体摊位业主
10550,街头个体食品摊位业主
10551,其他街头摊位售卖者
10552,其他个体经营业主
10554,数据错误
20000,专业技术人员
20100,文学艺术工作人员
20100,科学研究人员
20101,哲学研究人员
20102,经济学研究人员
20103,法学研究人员
20104,社会学研究人员
20105,教育科学研究人员
20106,文学、艺术研究人员
20107,图书馆学、情报学研究人员
20108,历史学研究人员
20109,管理科学研究人员
20111,数学研究人员
20112,物理学研究人员
20113,化学研究人员
20114,天文学研究人员
20115,地球科学研究人员
20116,生物科学研究人员
20117,农业科学研究人员
20118,医学研究人员
20119,其他科学研究人员
20200,工程技术人员
20201,地质勘探工程技术人员
20202,测绘工程技术人员
20203,矿山工程技术人员
20204,石油工程技术人员
20205,冶金工程技术人员
20206,化工工程技术人员
20207,机械工程技术人员
20208,兵器工程技术人员
20209,航空工程技术人员
20211,航天工程技术人员
20212,电子工程技术人员
20213,通信工程技术人员
20214,计算机与应用工程技术人员
20215,电气工程技术人员
20216,电力工程技术人员
20217,邮政工程技术人员
20218,广播、电影、电视工程技术人员
20219,交通工程技术人员
20221,民用航空工程技术人员
20222,铁路工程技术人员
20223,建筑工程技术人员
20224,建材工程技术人员
20225,林业工程技术人员
20226,水利工程技术人员
20227,海洋工程技术人员
20228,水产工程技术人员
20229,纺织工程技术人员
20231,食品工程技术人员
20232,气象工程技术人员
20233,地震工程技术人员
20234,环境保护工程技术人员
20235,安全工程技术人员
20236,标准化、计量、质量工程技术人员
20237,管理（工业）工程技术人员
20239,其他工程技术人员
20300,农业技术人员
20301,土壤肥料技术人员
20302,植物保护技术人员
20303,园艺技术人员
20304,作物遗传育种栽培技术人员
20305,兽医、兽药技术人员
20306,畜牧与草业技术人员
20309,其他农业技术人员
20400,飞机和船舶技术人员
20401,飞机人员和领航人员
20402,船舶指挥和领航人员
20409,其他飞机和船舶技术人员
20500,卫生专业技术人员
20501,西医医师
20502,中医医师
20503,中西医结合医师
20504,民族医生
20505,公共卫生医师
20506,药剂人员
20507,医疗技术人员
20508,护理人员
20509,其他卫生专业技术人员
20600,经济业务人员
20601,经济计划人员
20602,统计人员
20603,会计人员
20604,审计人员
20605,国际商务人员
20609,其他经济业务人员
20700,金融业务人员
20701,银行业务人员
20702,保险业务人员
20703,证券业务人员
20709,其他金融业务人员
20800,法律专业人员
20801,法官
20802,检察官
20803,律师
20804,公证员
20805,司法鉴定人员
20806,书记员
20809,其他法律专业人员
20900,教学人员
20901,高等教育教师
20902,中等职业教育教师
20903,中学教师
20904,小学教师
20905,幼儿教师
20906,特殊教育教师
20909,其他教学人员
21000,文学艺术工作人员
21001,文艺创作和评论人员
21002,编导和音乐指挥人员
21003,演员
21004,乐器演奏员
21005,电影、电视制作及舞台专业人员
21006,美术专业人员
21007,工艺美术专业人员
21009,其他文学艺术工作人员
21100,体育工作人员
21101,体育工作人员
21107,数据错误
21200,新闻出版、文化工作人员
21201,记者
21202,编辑
21203,校对员
21204,播音员及节目主持人
21205,翻译
21206,图书资料与档案业务人员
21207,考古及文物保护工作人员
21209,其他新闻出版、文化工作人员
21300,宗教职业者
21301,宗教职业者
21900,其他专业技术人员
21901,其他专业技术人员
24000,数据错误
30000,办事人员和有关人员
30100,行政办公人员
30101,行政业务人员
30102,行政事务人员
30109,其他行政办公人员
30200,安全保卫和消防人员
30201,人民警察
30202,治安保卫人员
30203,消防人员
30209,其他安全保卫和消防人员
30300,邮政和电信业务人员
30301,邮政业务人员
30302,电信业务人员
30303,电信通信传输业务人员
30309,其他邮政和电信业务人员
30900,其他办事人员和有关人员
30901,其他办事人员和有关人员
40000,商业、服务业人员
40100,购销人员
40101,营业人员
40102,推销、展销人员
40103,采购人员
40104,拍卖、典当及租赁业务人员
40105,废旧物资回收利用人员
40106,粮油管理人员
40107,商品监督和市场管理人员
40109,其他购销人员
40200,仓储人员
40201,保管人员
40202,储运人员
40209,其他仓储人员
40300,餐饮服务人员
40301,中餐烹饪人员
40302,西餐烹饪人员
40303,调酒和茶艺人员
40304,营养配餐人员
40305,餐厅服务人员
40309,其他餐饮服务人员
40400,饭店、旅游及健身娱乐场所服务人员
40401,饭店服务人员
40402,旅游及公共游览场所服务人员
40403,健身和娱乐场所服务人员
40409,其他饭店、旅游及健身娱乐场所服务人员
40500,运输服务人员
40501,公路、道路运输服务人员
40502,铁路客货运输服务人员
40503,航空运输服务人员
40504,水上运输服务人员
40509,其他运输服务人员
40600,医疗卫生辅助服务人员
40601,医疗卫生辅助服务人员
40700,社会服务和居民生活服务人员
40701,社会中介服务人员
40702,物业管理人员
40703,供水、供热及生活燃料供应人员
40704,美容美发人员
40705,摄影服务人员
40706,验光配镜人员
40707,洗染织补人员
40708,浴池服务人员
40709,印章刻字人员
40710,数据错误
40711,日用机电产品维修人员
40712,办公设备维修人员
40713,保育、家庭服务人员
40714,环境卫生人员
40715,殡葬服务人员
40719,其他社会服务和居民生活服务人员
40900,其他商业、服务业人员
40901,其他商业、服务业人员
50000,农、林、牧、渔、水利业生产人员
50100,种植业生产人员
50101,大田作物生产人员
50102,农业试验人员
50103,园艺作物生产人员
50104,热带作物生产人员
50105,中药材生产人员
50106,农副林特产品加工人员
50109,其他种植业生产人员
50200,林业生产及野生动植物保护人员
50201,营造林人员
50202,森林资源管护人员
50203,野生动植物保护及自然保护区人员
50204,木材采运人员
50209,其他林业生产及野生动植物保护人员
50300,畜牧业生产人员
50301,家畜饲养人员
50302,家禽饲养人员
50303,蜜蜂饲养人员
50304,实验动物饲养人员
50305,动物疫病防治人员
50306,草业生产人员
50309,其他畜牧业生产人员
50400,渔业生产人员
50401,水产养殖人员
50402,水产捕捞及有关人员
50403,水产品加工人员
50409,其他渔业生产人员
50500,水利设施管理养护人员
50501,河道、水库管养人员
50502,农田灌溉工程建设管理维护人员
50503,水土保持作业人员
50504,水文勘测作业人员
50509,其他水利设施管理养护人员
50900,其他农、林、牧、渔、水利业生产人员
50901,农林专用机械操作人员
50902,农村能源开发利用人员
60000,生产、运输设备操作人员及有关人员
60100,勘测及矿物开采人员
60101,地质勘查人员
60102,测绘人员
60103,矿物开采人员
60104,矿物处理人员
60105,钻井人员
60106,石油、天然气开采人员
60107,盐业生产人员
60109,其他勘测及矿物开采人员
60200,金属冶炼、轧制人员
60201,炼铁人员
60202,炼钢人员
60203,铁合金冶炼人员
60204,重有色金属冶炼人员
60205,轻有色金属冶炼人员
60206,稀贵金属冶炼人员
60207,半导体材料制备人员
60208,金属轧制人员
60209,铸铁管人员
60211,炭素制品生产人员
60212,硬质合金生产人员
60219,其他金属冶炼、轧制人员
60300,化工产品生产人员
60301,化工产品生产通用工艺人员
60302,石油炼制生产人员
60303,煤化工生产人员
60304,化学肥料生产人员
60305,无机化工产品生产人员
60306,基本有机化工产品生产人员
60307,合成树脂生产人员
60308,合成橡胶生产人员
60309,化学纤维生产人员
60311,合成革生产人员
60312,精细化工产品生产人员
60313,信息记录材料生产人员
60314,火药、炸药制造人员
60315,林产化工产品生产人员
60316,复合材料加工人员
60317,日用化学品生产人员
60319,其他化工产品生产人员
60400,机械制造加工人员
60401,机械冷加工人员
60402,机械热加工人员
60403,特种加工设备操作人员
60404,冷作钣金加工人员
60405,工件表面处理加工人员
60406,磨料磨具制造加工人员
60407,航天器件加工成型人员
60409,其他机械制造加工人员
60500,机电产品装配人员
60501,基础件、部件装配人员
60502,机械设备装配人员
60503,动力设备装配人员
60504,电子元件及设备装配人员
60505,电子专用设备装配调试人员
60506,仪器仪表装配人员
60507,运输车辆装配人员
60508,膜法水处理设备制造人员
60509,医疗器械设备及假肢与矫形器制作人员
60511,日用机械电器制作装配人员
60512,五金制品制作、装配人员
60513,装甲车辆装试人员
60514,枪炮制造人员
60515,弹制造人员
60516,引信加工制造人员
60517,火工品制造人员
60518,防化器材制造人员
60519,船舶制造人员
60521,航空产品装配与调试人员
60522,航空产品试验人员
60523,导弹卫星装配测试人员
60524,火箭发动机装配试验人员
60525,航天器结构强度、温度、环境试验人员
60526,靶场试验人员
60529,其他机电产品装配人员
60552,数据错误
60600,机械设备修理人员
60601,机械设备维修人员
60602,仪器仪表修理人员
60603,民用航空器维修人员
60609,其他机械设备修理人员
60700,电力设备安装、运行、检修及供电人员
60701,电力设备安装人员
60702,发电运行值班人员
60703,输电、配电、变电设备值班人员
60704,电力设备检修人员
60705,供用电人员
60706,生活、生产电力设备安装、操作、修理人员
60709,其他电力设备安装、运行、检修及供电人员
60800,电子元器件与设备制造、装配、调试及维修人员
60801,电子器件制造人员
60802,电子元件制造人员
60803,电池制造人员
60804,电子设备装配、调试人员
60805,电子产品维修人员
60809,其他电子元器件与设备制造、装配、调试及维
60809,其他电子元器件与设备制造、装配、调试及维修人员
60900,橡胶和塑料制品生产人员
60901,橡胶制品生产人员
60902,塑料制品加工人员
60903,数据错误
60909,其他橡胶和塑料制品生产人员
61000,纺织、针织、印染人员
61001,纤维预处理人员
61002,纺纱人员
61003,织造人员
61004,针织人员
61005,印染人员
61009,其他纺织、针织、印染人员
61100,裁剪、缝纫和皮革、毛皮制品加工制作人员
61101,裁剪、缝纫人员
61102,鞋帽制作人员
61103,皮革、毛皮加工人员
61104,缝纫制品在加工人员
61109,其他裁剪、缝纫和皮革、毛皮制品加工制作人
61109,其他裁剪、缝纫和皮革、毛皮制品加工制作人员
61200,粮油、食品、饮料生产加工及饲料生产加工人员
61201,粮油生产加工人员
61202,制糖和糖制品加工人员
61203,乳品、冷食品及罐头、饮料制作人员
61204,酿酒、食品添加剂及调味品制作人员
61205,粮油食品制作人员
61206,屠宰加工人员
61207,肉、蛋食品加工人员
61208,饲料生产加工人员
61209,其他粮油、食品、饮料生产加工及饲料生产加工人员
61300,烟草及其制品加工人员
61301,原烟复烤人员
61302,卷烟生产人员
61303,烟用醋酸纤维丝束滤棒制作人员
61309,其他烟草及制品加工人员
61400,药品生产人员
61401,合成药物制造人员
61402,生物技术制药（品）人员
61403,药物制剂人员
61404,中药制药人员
61409,其他药品生产人员
61500,木材加工、人造板生产、木制品制作及制浆、造纸和纸制品生产加工人员
61501,木材加工人员
61502,人造板生产人员
61503,木材制品制作人员
61504,制浆人员
61505,造纸人员
61506,纸制品制作人员
61509,其他木材加工、人造板生产、木制品制作及制浆、造纸和纸制品生产加工人员
61600,建筑材料生产加工人员
61601,水泥及水泥制品生产加工人员
61602,墙体屋面材料生产人员
61603,建筑防水密封材料生产人员
61604,建筑保温及吸音材料生产人员
61605,装饰石材生产人员
61606,非金属矿及其制品生产加工人员
61607,耐火材料生产人员
61609,其他建筑材料生产加工人员
61700,玻璃、陶瓷、搪瓷及其制品生产加工人员
61701,玻璃熔制人员
61702,玻璃纤维及其制品生产人员
61703,石英玻璃制品加工人员
61704,陶瓷制品生产人员
61705,搪瓷制品生产人员
61709,其他玻璃、陶瓷、搪瓷及其制品生产加工人员
61800,广播影视制品制作、播放及文物保护作业人员
61801,影视制品制作人员
61802,音像制品制作复制人员
61803,广播影视舞台设备安装调试及运行操作人员
61804,电影放映人员
61805,文物保护作业人员
61809,其他广播影视制品制作、播放及文物保护作业
61809,其他广播影视制品制作、播放及文物保护作业人员
61900,印刷人员
61901,印前处理人员
61902,印刷操作人员
61903,印后制作人员
61909,其他印刷人员
62000,工艺、美术品制作人员
62001,珠宝首饰加工制作人员
62002,地毯制作人员
62003,玩具制作人员
62004,漆器工艺品制作人员
62005,抽纱、刺绣工艺品制作人员
62006,金属工艺品制作人员
62007,雕刻工艺品制作人员
62008,美术品制作人员
62009,其他工艺、美术品制作人员
62100,文化教育、体育用品制作人员
62101,文教用品制作人员
62102,体育用品制作人员
62103,乐器制作人员
62109,其他文化教育、体育用品制作人员
62200,工程施工人员
62201,土石方施工人员
62202,砌筑人员
62203,混凝土配制及制品加工人员
62204,钢筋加工人员
62205,施工架子搭设人员
62206,工程防水人员
62207,装饰、装修人员
62208,古建筑修建人员
62209,筑路、养护、维修人员
62211,工程设备安装人员
62219,其他工程施工人员
62300,运输设备操作人员及有关人员
62301,公（道）路运输机械设备操作及有关人员
62302,铁路、地铁运输机械设备操作及有关人员
62303,民用航空设备操作及有关人员
62304,水上运输设备操作及有关人员
62305,起重装卸机械操作及有关人员
62309,其他运输设备操作人员及有关人员
62400,环境监测及废物处理人员
62401,环境监测人员
62402,海洋环境调查与检测人员
62403,废物处理人员
62409,其他环境监测与废物处理人员
62500,检验、计量人员
62501,检验人员
62502,航空产品检验人员
62503,航天器检验、测试人员
62504,计量人员
62509,其他检验、计量人员
62706,数据错误
62900,其他生产运输设备操作人员及有关人员
62901,包装人员
62902,机泵操作人员
62903,简单体力劳动人员
63509,数据错误
70000,军人
80000,无职业者分类及代码
90000,不便分类的其他人群
99000,数据错误
99700,零工、临工、散工、打工、工作、上班、务工
99800,工人
99900,技术工人、技工、技术员、操作工
99998,数据错误
99999,无法编码
660405,数据错误
999999,无法编码
